dataset,model,target,test_accuracy,train_accuracy,cv_mean,cv_std,f1_score,precision,recall,file
cmohs,peecom,accumulator_pressure,0.9727891156462585,0.9994331065759637,0.19727891156462582,0.14734693179621272,0,0,0,output\models\cmohs\peecom\accumulator_pressure\training_results.json
cmohs,peecom,cooler_condition,1.0,1.0,0.8235827664399092,0.28848813676201934,0,0,0,output\models\cmohs\peecom\cooler_condition\training_results.json
cmohs,peecom,pump_leakage,0.9931972789115646,1.0,0.9505668934240363,0.06192427823564004,0,0,0,output\models\cmohs\peecom\pump_leakage\training_results.json
cmohs,peecom,stable_flag,0.9795918367346939,0.9994331065759637,0.9038548752834468,0.043419151546127625,0,0,0,output\models\cmohs\peecom\stable_flag\training_results.json
cmohs,peecom,valve_condition,0.9886621315192744,1.0,0.9755102040816327,0.024732150937752325,0,0,0,output\models\cmohs\peecom\valve_condition\training_results.json
cmohs,random_forest,accumulator_pressure,0.9682539682539683,0.9994331065759637,0.9739264099922741,0.0060377591858995295,0,0,0,output\models\cmohs\random_forest\accumulator_pressure\training_results.json
cmohs,random_forest,cooler_condition,0.9977324263038548,0.9994331065759637,0.9982986737058974,0.0013891302105387227,0,0,0,output\models\cmohs\random_forest\cooler_condition\training_results.json
cmohs,random_forest,pump_leakage,0.9954648526077098,0.9988662131519275,0.9960323847540561,0.0028883332928581946,0,0,0,output\models\cmohs\random_forest\pump_leakage\training_results.json
cmohs,random_forest,stable_flag,0.9841269841269841,0.9914965986394558,0.9750627736286376,0.012457647234383192,0,0,0,output\models\cmohs\random_forest\stable_flag\training_results.json
cmohs,random_forest,valve_condition,0.9773242630385488,1.0,0.9767560520216328,0.007895650378071342,0,0,0,output\models\cmohs\random_forest\valve_condition\training_results.json
motorvd,peecom,condition,1.0,1.0,1.0,0.0,0,0,0,output\models\motorvd\peecom\condition\training_results.json
motorvd,peecom,file_id,1.0,1.0,0.8132231404958679,0.3488190777359449,0,0,0,output\models\motorvd\peecom\file_id\training_results.json
motorvd,random_forest,condition,1.0,1.0,1.0,0.0,0,0,0,output\models\motorvd\random_forest\condition\training_results.json
motorvd,random_forest,file_id,1.0,1.0,1.0,0.0,0,0,0,output\models\motorvd\random_forest\file_id\training_results.json
